Timestamp,Open,High,Low,Close,Volume_BTC,Volume_Currency,Weighted_Price
1419984000,311.1,312.79,311.0,312.01,61.56528962,19210.3044170897,312.031414708865
1419987600,311.18,312.6,311.18,311.55,86.73737224,27076.4097379154,312.165437327243
1419991200,311.98,312.6,310.69,311.29,126.78526352,39487.8316633328,311.454427486389
1419994800,311.3,312.6,310.93,312.36,189.06796587,58933.3495548807,311.704572922745
1419998400,312.36,312.99,310.98,312.67,95.60819139,29828.6228734087,311.988151221618
1420002000,312.67,313.0,311.0,312.53,104.55621538,32632.1290149263,312.101283470599
1420005600,312.54,313.37,311.39,312.65,72.95055833,22803.0459745983,312.582199459614
1420009200,312.6,313.74,311.49,313.0,244.37372393,76380.9444850726,312.557926673621
1420012800,313.0,314.98,312.14,314.56,276.66350913,86949.70825735,314.27964074761
1420016400,314.57,314.96,312.33,313.8,249.55912815,78229.1107564958,313.46924208469
1420020000,313.8,314.0,312.7,314.0,78.16279434,24525.7658588957,313.778007375366
1420023600,314.22,314.22,311.4,313.42,234.66641542,73406.0533231889,312.810221231737
1420027200,313.43,313.68,312.83,313.37,132.81609195,41628.9927188868,313.433350640662
1420030800,313.38,313.39,311.6,313.3,183.42291216,57356.5134677879,312.70092047037
1420034400,313.3,313.57,311.87,313.19,125.36832642,39257.2338465432,313.135183084653
1420038000,313.2,315.98,312.24,315.87,334.19588967,104948.709848268,314.033514750583
1420041600,313.8,319.5,313.55,316.7,1194.61242738,378866.9613978206,317.146341955226
1420045200,317.66,317.7,315.9,316.36,70.29683534,22233.2213940946,316.276277396567
1420048800,316.36,317.99,316.36,316.67,221.37727034,70325.455042359,317.672428313667
1420052400,316.67,317.5,315.62,316.23,207.24511678,65625.5741354756,316.656793439143
1420056000,316.07,317.59,314.76,317.53,281.47486399,88919.4210661908,315.905370041674
1420059600,317.53,318.99,315.0,318.99,653.08842771,207707.2844289427,318.038531408757
1420063200,318.99,319.75,318.0,318.88,258.85809015,82563.2640670432,318.951839670919
1420066800,318.88,321.0,318.02,321.0,854.74844058,273390.481537622,319.849055649765
1420070400,321.0,321.0,319.04,319.66,78.02844756,24976.6431451419,320.09663047488
1420074000,319.76,319.76,317.5,317.5,80.14530258,25496.0487583715,318.122808668938
1420077600,318.54,318.82,317.54,317.87,14.3716556,4574.6949107039,318.313702890563
1420081200,318.42,318.59,317.56,318.39,20.70583482,6592.4702669299,318.387079016112
1420084800,318.39,318.39,313.55,314.0,757.47414322,238960.8574413973,315.47064619999
1420088400,314.0,314.0,312.6,313.98,59.67058686,18709.1821110632,313.541111217139
1420092000,314.7,315.8,314.34,315.2,23.94864527,7553.4548212822,315.402175618855
1420095600,315.38,317.11,315.12,315.7,91.66296723,28976.388367,316.118812674836
1420099200,315.67,316.27,314.34,316.27,33.06721111,10429.2552307589,315.395670837355
1420102800,316.01,318.25,315.0,316.64,286.29177272,90896.9751255725,317.497685183122
1420106400,316.64,317.3,314.41,315.63,178.91398356,56384.3001169865,315.147530646075
1420110000,315.63,315.96,314.72,315.57,65.16849673,20540.5321898185,315.191130998772
1420113600,315.57,316.93,315.57,316.83,30.00431206,9491.7740054185,316.346996606277
1420117200,316.51,317.37,316.09,316.22,44.32985964,14041.4446949923,316.749134985357
1420120800,317.15,317.27,313.68,315.12,287.73696987,90510.6122925906,314.560246927892
1420124400,315.23,315.97,313.24,313.24,208.98161356,65658.9262147583,314.185181635164
1420128000,314.01,315.52,313.25,314.93,41.75302545,13130.7637117108,314.486520921343
1420131600,315.44,315.89,315.0,315.45,149.74483777,47186.8674121827,315.115152648263
1420135200,315.45,315.95,315.0,315.38,84.28066815,26565.9276509117,315.207843436058
1420138800,315.39,315.4,314.93,315.4,70.61725539,22265.5941532069,315.299625144593
1420142400,315.39,315.98,313.6,315.54,155.26659641,48915.694209191,315.043256825333
1420146000,315.56,316.0,314.36,314.36,99.00284615,31237.1401301124,315.517597168718
1420149600,314.93,316.49,314.75,315.45,114.22972821,36070.2659374672,315.769515542885
1420153200,315.27,316.55,313.61,313.81,112.03979403,35343.7653386516,315.457250208687
1420156800,313.82,314.8,311.96,313.26,358.11497593,111999.3552001781,312.746918526161
1420160400,313.26,315.59,312.24,315.59,102.045103,32105.1873869784,314.617619494963
1420164000,315.59,315.59,314.94,315.34,81.37801071,25675.4144494688,315.508012858243
1420167600,315.34,315.99,314.34,315.67,50.2747941,15854.1998737487,315.350866325052
1420171200,315.65,315.99,313.82,315.98,199.74375171,63027.8942202229,315.543758844234
1420174800,315.93,315.99,315.2,315.75,48.00090148,15154.3689334776,315.710090148865
1420178400,315.72,315.94,314.2,315.22,145.40163764,45834.9330968749,315.229827124488
1420182000,315.26,315.26,312.02,312.02,92.27690872,28870.6383571613,312.869587393362
1420185600,313.89,314.89,312.44,314.88,58.82908085,18466.3735137519,313.898725714185
